 Time(s)   T_center   T_surface   dT
    150.22      376.29      705.66      329.37
    150.66      377.44      706.40      328.95
    151.09      378.59      707.13      328.53
    151.53      379.74      707.85      328.11
    151.97      380.88      708.58      327.70
    152.40      382.03      709.31      327.28
    152.84      383.17      710.03      326.86
    153.28      384.32      710.75      326.44
    153.71      385.46      711.48      326.02
    154.15      386.60      712.20      325.60
    154.59      387.74      712.92      325.18
    155.02      388.87      713.64      324.76
    155.46      390.01      714.35      324.34
    155.90      391.15      715.07      323.92
    156.33      392.28      715.78      323.50
    156.77      393.41      716.50      323.08
    157.21      394.55      717.21      322.66
    157.64      395.68      717.92      322.24
    158.08      396.81      718.63      321.82
    158.52      397.94      719.34      321.40
    158.95      399.06      720.05      320.98
    159.39      400.19      720.75      320.56
    159.83      401.31      721.46      320.14
    160.26      402.44      722.16      319.72
    160.70      403.56      722.87      319.30
    161.14      404.68      723.57      318.88
    161.57      405.80      724.27      318.46
    162.01      406.92      724.97      318.05
    162.45      408.04      725.66      317.63
    162.88      409.16      726.36      317.21
    163.32      410.27      727.06      316.79
    163.76      411.38      727.75      316.37
    164.19      412.50      728.45      315.95
    164.63      413.61      729.14      315.53
    165.07      414.72      729.83      315.11
    165.50      415.83      730.52      314.69
    165.94      416.94      731.21      314.27
    166.38      418.04      731.90      313.85
    166.81      419.15      732.58      313.43
    167.25      420.25      733.27      313.02
    167.69      421.35      733.95      312.60
    168.12      422.46      734.64      312.18
    168.56      423.56      735.32      311.76
    169.00      424.66      736.00      311.34
    169.43      425.75      736.68      310.93
    169.87      426.85      737.36      310.51
    170.31      427.94      738.04      310.09
    170.74      429.04      738.71      309.67
    171.18      430.13      739.39      309.26
    171.62      431.22      740.06      308.84
    172.05      432.31      740.74      308.42
    172.49      433.40      741.41      308.01
    172.93      434.49      742.08      307.59
    173.36      435.58      742.75      307.17
    173.80      436.66      743.42      306.76
    174.24      437.74      744.09      306.34
    174.67      438.83      744.75      305.93
    175.11      439.91      745.42      305.51
    175.55      440.99      746.08      305.10
    175.98      442.06      746.75      304.68
    176.42      443.14      747.41      304.27
    176.86      444.22      748.07      303.85
    177.29      445.29      748.73      303.44
    177.73      446.37      749.39      303.03
    178.17      447.44      750.05      302.61
    178.60      448.51      750.71      302.20
    179.04      449.58      751.36      301.79
    179.48      450.65      752.02      301.37
    179.91      451.71      752.67      300.96
    180.35      452.78      753.33      300.55
    180.79      453.84      753.98      300.14
    181.22      454.90      754.63      299.73
    181.66      455.97      755.28      299.32
    182.10      457.03      755.93      298.90
    182.53      458.08      756.58      298.49
    182.97      459.14      757.23      298.08
    183.41      460.20      757.87      297.67
    183.84      461.25      758.52      297.26
    184.28      462.31      759.16      296.86
    184.72      463.36      759.80      296.45
    185.15      464.41      760.45      296.04
    185.59      465.46      761.09      295.63
    186.03      466.51      761.73      295.22
    186.46      467.55      762.37      294.81
    186.90      468.60      763.00      294.41
    187.34      469.64      763.64      294.00
    187.77      470.69      764.28      293.59
    188.21      471.73      764.91      293.19
    188.65      472.77      765.55      292.78
    189.08      473.81      766.18      292.37
    189.52      474.84      766.81      291.97
    189.96      475.88      767.44      291.56
    190.39      476.91      768.07      291.16
    190.83      477.95      768.70      290.75
    191.27      478.98      769.33      290.35
    191.70      480.01      769.96      289.95
    192.14      481.04      770.58      289.54
    192.58      482.07      771.21      289.14
    193.01      483.10      771.83      288.74
    193.45      484.12      772.46      288.34
    193.89      485.14      773.08      287.93
    194.32      486.17      773.70      287.53
    194.76      487.19      774.32      287.13
    195.20      488.21      774.94      286.73
    195.63      489.23      775.56      286.33
    196.07      490.25      776.18      285.93
    196.51      491.26      776.79      285.53
    196.94      492.28      777.41      285.13
    197.38      493.29      778.03      284.73
    197.82      494.30      778.64      284.34
    198.25      495.31      779.25      283.94
    198.69      496.32      779.86      283.54
    199.13      497.33      780.48      283.14
    199.56      498.34      781.09      282.75
    200.00      499.34      781.69      282.35
    200.44      500.35      782.30      281.96
    200.87      501.35      782.91      281.56
    201.31      502.35      783.52      281.17
    201.75      503.35      784.12      280.77
    202.18      504.35      784.73      280.38
    202.62      505.35      785.33      279.98
    203.06      506.34      785.93      279.59
    203.49      507.34      786.54      279.20
    203.93      508.33      787.14      278.80
    204.37      509.32      787.74      278.41
    204.80      510.32      788.34      278.02
    205.24      511.31      788.93      277.63
    205.68      512.29      789.53      277.24
    206.11      513.28      790.13      276.85
    206.55      514.27      790.72      276.46
    206.99      515.25      791.32      276.07
    207.42      516.23      791.91      275.68
    207.86      517.21      792.50      275.29
    208.30      518.20      793.10      274.90
    208.73      519.17      793.69      274.51
    209.17      520.15      794.28      274.13
    209.61      521.13      794.87      273.74
    210.04      522.10      795.46      273.35
    210.48      523.08      796.04      272.97
    210.92      524.05      796.63      272.58
    211.35      525.02      797.21      272.20
    211.79      525.99      797.80      271.81
    212.23      526.96      798.38      271.43
    212.66      527.93      798.97      271.04
    213.10      528.89      799.55      270.66
    213.54      529.86      800.13      270.28
    213.97      530.82      800.71      269.89
    214.41      531.78      801.29      269.51
    214.85      532.74      801.87      269.13
    215.28      533.70      802.45      268.75
    215.72      534.66      803.02      268.37
    216.16      535.61      803.60      267.99
    216.59      536.57      804.18      267.61
    217.03      537.52      804.75      267.23
    217.47      538.48      805.32      266.85
    217.90      539.43      805.90      266.47
    218.34      540.38      806.47      266.09
    218.78      541.33      807.04      265.71
    219.21      542.27      807.61      265.34
    219.65      543.22      808.18      264.96
    220.09      544.16      808.75      264.58
    220.52      545.11      809.31      264.21
    220.96      546.05      809.88      263.83
    221.40      546.99      810.45      263.46
    221.83      547.93      811.01      263.08
    222.27      548.87      811.58      262.71
    222.71      549.81      812.14      262.33
    223.14      550.74      812.70      261.96
    223.58      551.68      813.26      261.59
    224.02      552.61      813.83      261.22
    224.45      553.54      814.39      260.84
    224.89      554.47      814.94      260.47
    225.33      555.40      815.50      260.10
    225.76      556.33      816.06      259.73
    226.20      557.26      816.62      259.36
    226.64      558.18      817.17      258.99
    227.07      559.11      817.73      258.62
    227.51      560.03      818.28      258.25
    227.95      560.95      818.84      257.89
    228.38      561.87      819.39      257.52
    228.82      562.79      819.94      257.15
    229.26      563.71      820.49      256.78
    229.69      564.62      821.04      256.42
    230.13      565.54      821.59      256.05
    230.57      566.45      822.14      255.69
    231.00      567.37      822.69      255.32
    231.44      568.28      823.23      254.96
    231.88      569.19      823.78      254.59
    232.31      570.10      824.33      254.23
    232.75      571.00      824.87      253.87
    233.19      571.91      825.41      253.50
    233.62      572.81      825.96      253.14
    234.06      573.72      826.50      252.78
    234.50      574.62      827.04      252.42
    234.93      575.52      827.58      252.06
    235.37      576.42      828.12      251.70
    235.81      577.32      828.66      251.34
    236.24      578.22      829.20      250.98
    236.68      579.11      829.73      250.62
    237.12      580.01      830.27      250.26
    237.55      580.90      830.81      249.90
    237.99      581.79      831.34      249.55
    238.43      582.69      831.88      249.19
    238.86      583.58      832.41      248.83
    239.30      584.46      832.94      248.48
    239.74      585.35      833.47      248.12
    240.17      586.24      834.00      247.77
    240.61      587.12      834.53      247.41
    241.05      588.01      835.06      247.06
    241.48      588.89      835.59      246.70
    241.92      589.77      836.12      246.35
    242.36      590.65      836.65      246.00
    242.79      591.53      837.17      245.65
    243.23      592.41      837.70      245.29
    243.67      593.28      838.22      244.94
    244.10      594.16      838.75      244.59
    244.54      595.03      839.27      244.24
    244.98      595.90      839.79      243.89
    245.41      596.78      840.32      243.54
    245.85      597.65      840.84      243.19
    246.29      598.51      841.36      242.84
    246.72      599.38      841.88      242.49
    247.16      600.25      842.39      242.15
    247.60      601.11      842.91      241.80
    248.03      601.98      843.43      241.45
    248.47      602.84      843.95      241.11
    248.91      603.70      844.46      240.76
    249.34      604.56      844.98      240.42
    249.78      605.42      845.49      240.07
    250.22      606.28      846.00      239.73
